Day,Week,Births,Running Total,Percent,Running Total %
245,"35W,0D",14,14,0.10%,0.10%
246,"35W,1D",18,32,0.20%,0.30%
247,"35W,2D",12,44,0.10%,0.40%
248,"35W,3D",22,66,0.20%,0.60%
249,"35W,4D",19,85,0.20%,0.70%
250,"35W,5D",21,106,0.20%,0.90%
251,"35W,6D",18,124,0.20%,1.10%
252,"36W,0D",34,158,0.30%,1.40%
253,"36W,1D",26,184,0.20%,1.60%
254,"36W,2D",35,219,0.30%,1.90%
255,"36W,3D",37,256,0.30%,2.30%
256,"36W,4D",32,288,0.30%,2.50%
257,"36W,5D",35,323,0.30%,2.80%
258,"36W,6D",40,363,0.40%,3.20%
259,"37W,0D",63,426,0.60%,3.80%
260,"37W,1D",62,488,0.50%,4.30%
261,"37W,2D",62,550,0.50%,4.80%
262,"37W,3D",79,629,0.70%,5.50%
263,"37W,4D",93,722,0.80%,6.40%
264,"37W,5D",80,802,0.70%,7.10%
265,"37W,6D",120,922,1.10%,8.10%
266,"38W,0D",135,1057,1.20%,9.30%
267,"38W,1D",123,1180,1.10%,10.40%
268,"38W,2D",124,1304,1.10%,11.50%
269,"38W,3D",166,1470,1.50%,12.90%
270,"38W,4D",210,1680,1.80%,14.80%
271,"38W,5D",181,1861,1.60%,16.40%
272,"38W,6D",227,2088,2%,18.40%
273,"39W,0D",279,2367,2.50%,20.90%
274,"39W,1D",241,2608,2.10%,23%
275,"39W,2D",271,2879,2.40%,25.40%
276,"39W,3D",328,3207,2.90%,28.30%
277,"39W,4D",356,3563,3.10%,31.40%
278,"39W,5D",342,3905,3%,34.40%
279,"39W,6D",411,4316,3.60%,38%
280,"40W,0D",497,4813,4.40%,42.40%
281,"40W,1D",454,5267,4%,46.40%
282,"40W,2D",383,5650,3.40%,49.80%
283,"40W,3D",366,6016,3.20%,53%
284,"40W,4D",336,6352,3%,56%
285,"40W,5D",351,6703,3.10%,59%
286,"40W,6D",359,7062,3.20%,62.20%
287,"41W,0D",355,7417,3.10%,65.30%
288,"41W,1D",264,7681,2.30%,67.70%
289,"41W,2D",210,7891,1.80%,69.50%
290,"41W,3D",208,8099,1.80%,71.30%
291,"41W,4D",145,8244,1.30%,72.60%
292,"41W,5D",117,8361,1%,73.70%
293,"41W,6D",95,8456,0.80%,74.50%
294,"42W,0D",73,8529,0.60%,75.10%
295,"42W,1D",29,8558,0.30%,75.40%
296,"42W,2D",26,8584,0.20%,75.60%
297,"42W,3D",22,8606,0.20%,75.80%
298,"42W,4D",12,8618,0.10%,75.90%
299,"42W,5D",10,8628,0.10%,76%
300,"42W,6D",9,8637,0.10%,76.10%
301,"43W,0D",11,8648,0.10%,76.20%
